iter	Passed	Remaining
0	6	51859
1	13	53743
2	20	54204
3	26	52672
4	33	53557
5	40	53677
6	46	53525
7	53	53322
8	59	52730
9	66	52934
10	73	53282
11	79	53186
12	86	53356
13	93	53511
14	100	53489
15	106	53334
16	113	53344
17	119	53101
18	126	53304
19	133	53323
20	140	53401
21	148	53683
22	155	53857
23	163	54192
24	170	54423
25	178	54865
26	186	55011
27	193	55082
28	200	55155
29	208	55446
30	216	55579
31	224	55883
32	231	55855
33	238	55884
34	246	56061
35	254	56194
36	261	56214
37	267	56109
38	274	56032
39	281	56076
40	288	56016
41	295	56055
42	302	56008
43	309	55997
44	316	55963
45	323	55982
46	330	55909
47	337	55876
48	344	55866
49	350	55773
50	357	55697
51	364	55710
52	370	55597
53	377	55572
54	385	55657
55	392	55663
56	399	55697
57	407	55734
58	413	55690
59	420	55692
60	427	55646
61	434	55597
62	441	55618
63	449	55733
64	456	55744
65	464	55831
66	471	55840
67	478	55803
68	485	55845
69	493	55945
70	502	56085
71	509	56134
72	516	56106
73	523	56085
74	530	56106
75	538	56107
76	545	56132
77	552	56125
78	559	56088
79	566	56042
80	573	56029
81	579	55972
82	586	55942
83	593	55898
84	599	55865
85	606	55845
86	613	55774
87	620	55780
88	626	55712
89	633	55719
90	640	55677
91	646	55591
92	653	55592
93	660	55576
94	667	55556
95	674	55527
96	680	55474
97	687	55442
98	693	55381
99	701	55381
100	708	55371
101	714	55324
102	721	55280
103	727	55223
104	734	55230
105	741	55192
106	748	55189
107	755	55184
108	762	55178
109	769	55182
110	776	55183
111	783	55152
112	790	55161
113	797	55154
114	803	55123
115	810	55066
116	816	55022
117	822	54948
118	829	54905
119	836	54909
120	843	54950
121	850	54920
122	856	54879
123	864	54878
124	870	54860
125	877	54828
126	884	54853
127	891	54819
128	898	54798
129	904	54752
130	911	54730
131	917	54689
132	923	54631
133	930	54619
134	936	54576
135	943	54561
136	950	54567
137	957	54572
138	964	54540
139	971	54517
140	977	54479
141	983	54446
142	990	54418
143	997	54410
144	1003	54377
145	1010	54339
146	1016	54310
147	1023	54280
148	1030	54301
149	1036	54240
150	1043	54248
151	1050	54219
152	1056	54187
153	1063	54175
154	1069	54138
155	1076	54122
156	1082	54096
157	1089	54057
158	1095	54021
159	1102	54001
160	1108	53988
161	1114	53945
162	1121	53914
163	1128	53911
164	1135	53895
165	1142	53898
166	1148	53857
167	1155	53850
168	1162	53848
169	1169	53843
170	1175	53820
171	1182	53819
172	1189	53799
173	1196	53796
174	1202	53773
175	1209	53769
176	1216	53774
177	1222	53725
178	1229	53704
179	1235	53673
180	1241	53634
181	1247	53604
182	1254	53575
183	1261	53571
184	1267	53556
185	1274	53529
186	1280	53517
187	1287	53497
188	1293	53474
189	1300	53458
190	1308	53483
191	1314	53470
192	1321	53458
193	1327	53426
194	1334	53419
195	1341	53404
196	1347	53387
197	1354	53380
198	1360	53351
199	1367	53339
200	1373	53301
201	1379	53258
202	1386	53247
203	1393	53237
204	1399	53209
205	1406	53221
206	1414	53238
207	1420	53217
208	1427	53207
209	1433	53191
210	1440	53183
211	1448	53222
212	1456	53263
213	1465	53319
214	1473	53353
215	1482	53408
216	1489	53412
217	1496	53409
218	1504	53460
219	1511	53450
220	1517	53419
221	1524	53397
222	1530	53385
223	1537	53380
224	1544	53377
225	1551	53359
226	1557	53341
227	1563	53302
228	1570	53287
229	1576	53271
230	1583	53254
231	1589	53226
232	1595	53201
233	1602	53173
234	1609	53173
235	1615	53133
236	1621	53113
237	1628	53120
238	1635	53100
239	1641	53086
240	1648	53079
